StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,SCORE_RAW
9/17/2024 20:52,9/17/2024 21:10,IP Address,100,1088,TRUE,9/17/2024 21:11,R_5FOPAZUJbnUyf72,anonymous,EN,1,,0,20,,I agree,Yes,33712,,Single-family home,Own,,1 - 4 years,,High priority,Moderate priority,Top priority,Low priority,Moderate priority,Top priority,Moderate priority,Top priority,Low priority,Moderate priority,High priority,Top priority,Moderate priority,High priority,High priority,High priority,Not true at all,Moderately true,Moderately true,Moderately true,Not true at all,Completely true,Very true,A little true,A little true,Completely true,Very true,Not true at all,A little true,Moderately true,Very true,Never,About once a month,About once a week,A few times,Multiple times per week,Never,Multiple times per week,Never,Never,Never,A few times,Multiple times per week,Multiple times per week,Multiple times per week,About once a month,Never,Multiple times per week,A few times,Never,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,Much more than I do,About the same as I do,Much more than I do,About the same as I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,,,,"Yes, very involved","Yes, very involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",A little true,Not true at all,Very true,Moderately true,Not true at all,Completely true,A little true,Moderately true,Completely true,Not true at all,Very true,Completely true,Very true,Moderately true,Not true at all,A little true,A little true,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,A little of the time,Most of the time,Some of the time,A good bit of the time,A little of the time,A good bit of the time,Several days,Not at all,Not at all,Several days,Not at all,Several days,Several days,Declined,0,Silica,0,Industrial discharges into the bay,0,Summer (June - September),2,Increased ocean temperature,3,Radio,25 - 34,Female,,White or European,,Master's degree,Full-time,"$50,000 - $74,999",Moderately liberal,1
9/18/2024 8:58,9/18/2024 9:04,Survey Preview,100,336,TRUE,9/18/2024 9:04,R_11,preview,EN,1,TRUE,100,0,9/18/2024 12:52,I agree,Yes,33760,,Single-family home,Own,,20 years or more,,Moderate priority,High priority,Top priority,Top priority,Top priority,Moderate priority,Top priority,High priority,High priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Low priority,A little true,A little true,A little true,A little true,A little true,Moderately true,Moderately true,Moderately true,A little true,Moderately true,A little true,A little true,Moderately true,Very true,Moderately true,Never,Never,Never,Never,A few times,Never,A few times,A few times,A few times,A few times,Never,Never,Never,A few times,Never,A few times,A few times,Never,Never,Never,A few times,Never,Never,A little more than I do,About the same as I do,A little more than I do,A little more than I do,A little more than I do,A little more than I do,About the same as I do,About the same as I do,Spring (March - May),,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",A little true,A little true,A little true,Not true at all,Not true at all,A little true,Not true at all,A little true,A little true,A little true,Very true,A little true,A little true,A little true,A little true,A little true,A little true,A little true,A little true,Not true at all,A little true,Not true at all,Not true at all,A little true,A little true,A little true,A little of the time,A good bit of the time,None of the time,A good bit of the time,None of the time,Some of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,5,Phosphorus,4,Stormwater runoff,4,Summer (June - September),4,"Boat propeller blades,Microplastics,Nutrient pollution",4,Television,55 - 64,Female,,White or European,,High school diploma or GED,Retired,"Less than $25,000",Moderately conservative,3
9/18/2024 9:19,9/18/2024 9:26,Survey Preview,100,365,TRUE,9/18/2024 9:26,R_12,preview,EN,1,TRUE,100,0,9/18/2024 13:10,I agree,Yes,34221,,Single-family home,Own,,5 - 9 years,,Top priority,Not a priority,Low priority,Not a priority,Not a priority,Not a priority,High priority,Low priority,Low priority,Low priority,High priority,Top priority,Top priority,High priority,Moderate priority,Low priority,Not true at all,A little true,A little true,Moderately true,Not true at all,Completely true,Moderately true,Moderately true,A little true,Moderately true,A little true,A little true,Very true,A little true,Moderately true,Never,About once a month,Never,About once a week,A few times,A few times,Multiple times per week,Multiple times per week,About once a month,Never,Never,Never,Never,About once a month,Multiple times per week,About once a month,Multiple times per week,Multiple times per week,Never,About once a week,Multiple times per week,A few times,About once a month,About the same as I do,A little less than I do,About the same as I do,About the same as I do,A little less than I do,About the same as I do,About the same as I do,About the same as I do,"Spring (March - May),Summer (June - September),Fall (October - November),Winter (December - February)","A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation","Yes, very involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Completely true,A little true,Moderately true,Not true at all,A little true,A little true,Not true at all,Completely true,Moderately true,Moderately true,Very true,Not true at all,Very true,Completely true,Moderately true,A little true,Moderately true,Not true at all,Very true,Not true at all,A little true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,A little of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,5,Nitrogen,5,Stormwater runoff,5,Summer (June - September),5,Nutrient pollution,5,Television,65 or older,Male,,White or European,,Doctoral degree,Retired,"$100,000 or more",Moderately conservative,3.5
9/18/2024 9:27,9/18/2024 9:33,Survey Preview,100,333,TRUE,9/18/2024 9:33,R_13,preview,EN,1,TRUE,100,0,9/18/2024 13:20,I agree,Yes,33605,,Single-family home,Own,,1 - 4 years,,Moderate priority,Top priority,High priority,Moderate priority,High priority,Top priority,Moderate priority,Moderate priority,Top priority,Moderate priority,Moderate priority,Low priority,High priority,High priority,Moderate priority,Low priority,A little true,Completely true,Very true,Very true,A little true,Very true,Very true,Moderately true,A little true,Completely true,Completely true,Completely true,Completely true,Moderately true,Completely true,About once a month,A few times,About once a month,A few times,Multiple times per week,A few times,Multiple times per week,Multiple times per week,Multiple times per week,A few times,A few times,A few times,A few times,About once a month,A few times,Never,About once a week,Never,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,A little more than I do,Much more than I do,A little more than I do,Much less than I do,A little less than I do,A little less than I do,Much less than I do,A little less than I do,,The shoreline or bank of a water body,Fishing for fun or sport,"No, not involved","No, not involved","Yes, a little involved","Yes, a little involved","Yes, very involved","No, not involved","No, not involved",Moderately true,Very true,Moderately true,A little true,Very true,A little true,A little true,Moderately true,Moderately true,Very true,Very true,Not true at all,Very true,Moderately true,Very true,Moderately true,Very true,A little true,Very true,Not true at all,A little true,A little true,Not true at all,A little true,Very true,Moderately true,A little of the time,Most of the time,A little of the time,Most of the time,None of the time,All of the time,Several days,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Remained about the same,5,Phosphorus,5,Stormwater runoff,5,Summer (June - September),7,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",6,"Television,Social media,Newspapers or magazines,Mail or email newsletters",45 - 54,Female,,White or European,,Master's degree,Unemployed,"$50,000 - $74,999",Moderately liberal,3
9/18/2024 9:39,9/18/2024 9:45,Survey Preview,100,352,TRUE,9/18/2024 9:45,R_14,preview,EN,1,TRUE,100,0,9/18/2024 13:27,I agree,Yes,33570,,Single-family home,Own,,20 years or more,,Moderate priority,Moderate priority,Moderate priority,High priority,High priority,Moderate priority,High priority,Moderate priority,Low priority,Low priority,High priority,Top priority,Moderate priority,Moderate priority,Top priority,Low priority,Moderately true,Moderately true,Moderately true,Very true,Not true at all,Completely true,Completely true,Very true,A little true,Very true,Very true,Very true,Completely true,Very true,Completely true,A few times,About once a month,A few times,About once a week,About once a month,About once a month,About once a week,Multiple times per week,About once a week,About once a month,A few times,A few times,A few times,About once a month,A few times,Never,Never,Never,Never,Never,Multiple times per week,A few times,About once a month,Much more than I do,Much more than I do,Much more than I do,Much more than I do,A little less than I do,Much less than I do,About the same as I do,A little more than I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food,Socializing with other anglers","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Very true,Moderately true,Very true,A little true,A little true,Completely true,A little true,Completely true,Very true,Very true,Very true,Moderately true,Completely true,Very true,Moderately true,Moderately true,Very true,Moderately true,Moderately true,Not true at all,A little true,Completely true,Very true,Very true,Not true at all,Moderately true,None of the time,Most of the time,None of the time,Most of the time,None of the time,All of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Declined,8,Nitrogen,3,Stormwater runoff,9,Summer (June - September),10,"Boat propeller blades,Microplastics,Nutrient pollution",7,"Social media,Your own observations or experiences",65 or older,Male,,White or European,,Bachelor's degree,Full-time,"$50,000 - $74,999",Moderately conservative,4
9/18/2024 9:47,9/18/2024 9:52,Survey Preview,100,305,TRUE,9/18/2024 9:52,R_15,preview,EN,1,TRUE,100,0,9/18/2024 13:39,I agree,Yes,34208,,Single-family home,Own,,20 years or more,,Moderate priority,Moderate priority,Moderate priority,Low priority,Low priority,Low priority,Top priority,High priority,High priority,Low priority,Moderate priority,Moderate priority,High priority,Top priority,Top priority,Moderate priority,Moderately true,A little true,A little true,A little true,Very true,Completely true,Moderately true,Very true,A little true,A little true,Moderately true,A little true,Moderately true,Not true at all,Moderately true,Never,Never,Never,About once a week,About once a month,Never,Never,A few times,A few times,A few times,A few times,Never,Never,Never,A few times,A few times,A few times,Never,Never,Never,Multiple times per week,About once a week,A few times,A little more than I do,A little more than I do,A little more than I do,Much less than I do,A little more than I do,About the same as I do,About the same as I do,A little more than I do,Spring (March - May),,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Moderately true,A little true,A little true,A little true,A little true,A little true,A little true,Not true at all,Not true at all,Very true,Not true at all,A little true,A little true,Moderately true,Not true at all,Not true at all,Not true at all,Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,None of the time,All of the time,None of the time,All of the time,None of the time,All of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,5,Nitrogen,7,Stormwater runoff,8,Summer (June - September),8,Increased ocean temperature,5,Television,65 or older,Female,,White or European,,Bachelor's degree,Retired,"$25,000 - $49,999",Strongly conservative,4
9/18/2024 9:55,9/18/2024 10:02,Survey Preview,100,390,TRUE,9/18/2024 10:02,R_16,preview,EN,1,TRUE,100,0,9/18/2024 13:47,I agree,Yes,33605,,Single-family home,Own,,20 years or more,,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Top priority,Moderate priority,Moderate priority,Low priority,Moderate priority,High priority,Top priority,High priority,Moderate priority,Moderate priority,Very true,Completely true,Moderately true,Very true,Not true at all,Completely true,Very true,Not true at all,A little true,Moderately true,Very true,Very true,Completely true,A little true,Completely true,Never,A few times,Never,About once a month,Multiple times per week,A few times,About once a month,About once a week,About once a week,About once a month,A few times,About once a month,A few times,About once a week,About once a month,About once a month,A few times,Never,Never,A few times,Multiple times per week,About once a month,Never,A little more than I do,A little more than I do,Much more than I do,Much more than I do,A little more than I do,A little less than I do,A little less than I do,Much less than I do,Spring (March - May),"A boat, kayak, or canoe",Watching friends or family fish,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,Very true,Completely true,Very true,Very true,Completely true,Very true,Completely true,Completely true,Completely true,Very true,Very true,Very true,Completely true,Moderately true,Very true,Completely true,Moderately true,Not true at all,Not true at all,Very true,Moderately true,Not true at all,Not true at all,Very true,A little true,None of the time,All of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Remained about the same,7,Silica,7,Industrial discharges into the bay,10,Summer (June - September),9,Microplastics,5,"Television,Radio,Your own observations or experiences",55 - 64,Female,,White or European,,Vocational or Trade School degree,Full-time,"$75,000 - $99,999",Slightly conservative,1
9/18/2024 10:03,9/18/2024 10:08,Survey Preview,100,306,TRUE,9/18/2024 10:08,R_17,preview,EN,1,TRUE,100,0,9/18/2024 13:55,I agree,Yes,33570,,Single-family home,Own,,20 years or more,,Not a priority,Not a priority,Moderate priority,Moderate priority,Moderate priority,Not a priority,High priority,Low priority,Moderate priority,Low priority,Low priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Low priority,Moderately true,Moderately true,Moderately true,Moderately true,Moderately true,A little true,A little true,Not true at all,A little true,Not true at all,Not true at all,Not true at all,A little true,Not true at all,Not true at all,Never,Never,Never,Never,Never,Never,A few times,Never,A few times,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Multiple times per week,A few times,Never,Much more than I do,Much more than I do,Much more than I do,Much more than I do,Much more than I do,A little more than I do,Much more than I do,Much more than I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Moderately true,Not true at all,Not true at all,Very true,Moderately true,Not true at all,Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,None of the time,A good bit of the time,None of the time,A good bit of the time,None of the time,A good bit of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,8,Phosphorus,7,Wastewater,5,Winter (December - February),5,Boat propeller blades,5,Television,65 or older,Female,,White or European,,High school diploma or GED,Retired,"$25,000 - $49,999",Moderately conservative,0.5
9/18/2024 12:39,9/18/2024 12:44,Survey Preview,100,311,TRUE,9/18/2024 12:44,R_18,preview,EN,1,TRUE,100,0,9/18/2024 14:04,I agree,Yes,34221,,Townhome or duplex,Own,,10 - 19 years,,Moderate priority,Moderate priority,High priority,Moderate priority,High priority,Top priority,Top priority,High priority,Moderate priority,Moderate priority,High priority,Top priority,High priority,High priority,High priority,Moderate priority,Not true at all,Moderately true,A little true,A little true,A little true,Completely true,Completely true,Very true,A little true,Moderately true,Moderately true,Moderately true,Very true,Very true,Very true,A few times,A few times,Never,About once a month,About once a month,A few times,About once a week,About once a month,About once a month,A few times,A few times,A few times,A few times,A few times,A few times,A few times,About once a week,Multiple times per week,A few times,A few times,Multiple times per week,A few times,About once a week,About the same as I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,A little less than I do,A little less than I do,A little less than I do,"Spring (March - May),Fall (October - November),Winter (December - February)","The shoreline or bank of a water body,A fishing pier or boardwalk","Fishing for fun or sport,Fishing for relaxation","No, not involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,Completely true,Completely true,Completely true,Very true,Moderately true,Completely true,Completely true,Moderately true,Very true,Moderately true,Moderately true,Very true,Not true at all,Completely true,Moderately true,Moderately true,Moderately true,Very true,Very true,A little of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,More than half the days,More than half the days,More than half the days,Several days,Several days,Several days,Several days,Declined,10,Nitrogen,10,Stormwater runoff,10,Summer (June - September),10,"Boat propeller blades,Nutrient pollution",10,"Television,Social media,Newspapers or magazines,Government websites,Your own observations or experiences",55 - 64,Male,,White or European,,Associate degree,"Part-time,Retired","$75,000 - $99,999",Strongly conservative,4
9/18/2024 12:46,9/18/2024 12:51,Survey Preview,100,296,TRUE,9/18/2024 12:51,R_19,preview,EN,1,TRUE,100,0,9/18/2024 16:39,I agree,Yes,33570,,Single-family home,Own,,20 years or more,,Top priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Top priority,High priority,Moderate priority,Low priority,Moderate priority,Top priority,Top priority,Top priority,Top priority,Top priority,High priority,Moderately true,Very true,Very true,A little true,A little true,Completely true,Completely true,A little true,A little true,Completely true,Very true,Moderately true,Very true,A little true,Completely true,About once a month,About once a month,Never,Multiple times per week,Multiple times per week,Never,About once a week,Multiple times per week,Multiple times per week,Never,Never,A few times,A few times,About once a month,About once a month,About once a month,About once a week,About once a week,Never,Never,About once a week,A few times,About once a month,A little more than I do,About the same as I do,About the same as I do,About the same as I do,About the same as I do,A little less than I do,A little less than I do,A little less than I do,"Spring (March - May),Winter (December - February)",,,"No, not involved","No, not involved","Yes, very involved","No, not involved","No, not involved","No, not involved","Yes, a little involved",Very true,Very true,Completely true,Moderately true,A little true,Completely true,Moderately true,Moderately true,Very true,Very true,Very true,A little true,Completely true,Moderately true,Moderately true,Moderately true,A little true,Moderately true,Moderately true,Not true at all,Very true,Moderately true,A little true,Very true,Not true at all,Completely true,A little of the time,A good bit of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Declined,7,Nitrogen,5,Stormwater runoff,8,Summer (June - September),8,Nutrient pollution,8,"Television,Your own observations or experiences",55 - 64,Female,,White or European,,Master's degree,Retired,"$75,000 - $99,999",Neutral,3.5
9/18/2024 12:54,9/18/2024 12:59,Survey Preview,100,325,TRUE,9/18/2024 12:59,R_20,preview,EN,1,TRUE,100,0,9/18/2024 16:47,I agree,Yes,33615,,Single-family home,Own,,20 years or more,,High priority,Top priority,Top priority,Top priority,Top priority,High priority,Top priority,Top priority,Top priority,Top priority,Top priority,Top priority,High priority,Top priority,Top priority,High priority,A little true,Very true,Moderately true,Very true,Not true at all,Not true at all,Completely true,Very true,A little true,A little true,Moderately true,A little true,Very true,Moderately true,Completely true,Never,Never,Never,Never,A few times,Never,Multiple times per week,Multiple times per week,A few times,Multiple times per week,Never,A few times,Never,Never,Never,Never,Never,A few times,Never,About once a month,Multiple times per week,Never,Never,About the same as I do,Much more than I do,Much more than I do,Much more than I do,Much less than I do,Much less than I do,Much more than I do,Much more than I do,,,,"Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, very involved",Not true at all,Not true at all,Moderately true,A little true,Very true,Moderately true,A little true,Not true at all,Moderately true,Moderately true,Very true,Very true,Moderately true,Not true at all,Not true at all,A little true,A little true,Very true,Very true,Not true at all,Completely true,Not true at all,Moderately true,A little true,Not true at all,Completely true,None of the time,Most of the time,None of the time,Most of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Declined,7,Phosphorus,7,Wastewater,6,Spring (March - May),8,Nutrient pollution,7,"Television,Social media,Non-governmental organization (NGO) websites,Your own observations or experiences",65 or older,Male,,White or European,,High school diploma or GED,Retired,"$25,000 - $49,999",Strongly liberal,0.5
9/18/2024 13:01,9/18/2024 13:07,Survey Preview,100,326,TRUE,9/18/2024 13:07,R_21,preview,EN,1,TRUE,100,0,9/18/2024 16:54,I agree,Yes,33615,,Mobile home,Rent,,20 years or more,,Moderate priority,High priority,Top priority,Top priority,Top priority,Moderate priority,Top priority,Top priority,Top priority,Top priority,High priority,Moderate priority,Top priority,Moderate priority,Top priority,Top priority,A little true,Moderately true,A little true,Moderately true,Not true at all,Completely true,Completely true,Not true at all,A little true,Moderately true,Moderately true,A little true,Completely true,Very true,Completely true,Never,Never,Never,A few times,About once a week,Never,Never,Never,Never,Never,Never,A few times,Never,A few times,A few times,,,,,A few times,About once a week,About once a month,A few times,,,,,About the same as I do,About the same as I do,A little more than I do,A little more than I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Very true,Not true at all,Very true,Very true,Not true at all,A little true,Moderately true,Very true,Moderately true,Not true at all,A little true,Moderately true,Not true at all,Not true at all,A little true,Moderately true,Very true,A little true,Moderately true,Some of the time,A good bit of the time,A little of the time,A good bit of the time,None of the time,A good bit of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,5,Silica,2,Stormwater runoff,2,Summer (June - September),3,Boat propeller blades,2,"Television,Radio",45 - 54,Female,,Hispanic or Latino/a,,High school diploma or GED,Part-time,"$25,000 - $49,999",Slightly conservative,2.5
9/18/2024 13:09,9/18/2024 13:14,Survey Preview,100,342,TRUE,9/18/2024 13:14,R_22,preview,EN,1,TRUE,100,0,9/18/2024 17:02,I agree,Yes,34209,,Single-family home,Own,,20 years or more,,High priority,Not a priority,High priority,Not a priority,Not a priority,Moderate priority,High priority,Top priority,Low priority,Not a priority,Low priority,Top priority,High priority,Moderate priority,Moderate priority,Not a priority,Not true at all,Not true at all,Moderately true,Very true,Very true,Completely true,Moderately true,A little true,A little true,Completely true,Very true,Very true,Completely true,Completely true,Completely true,A few times,A few times,Never,Never,Never,Never,Multiple times per week,About once a month,About once a month,Never,Never,A few times,Never,About once a month,A few times,Never,About once a week,About once a week,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Never,Much more than I do,Much more than I do,About the same as I do,About the same as I do,Much less than I do,About the same as I do,A little less than I do,Much less than I do,,,,"No, not involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved",Moderately true,Completely true,Completely true,Completely true,Moderately true,Completely true,Not true at all,Completely true,Very true,Very true,Very true,Very true,Completely true,Very true,Moderately true,Completely true,Moderately true,Completely true,Completely true,Not true at all,A little true,Not true at all,Not true at all,A little true,Moderately true,A little true,None of the time,A little of the time,A good bit of the time,Some of the time,A little of the time,None of the time,Not at all,Several days,Several days,More than half the days,Several days,Nearly every day,Not at all,Declined,9,Phosphorus,7,Industrial discharges into the bay,7,Summer (June - September),8,"Boat propeller blades,Increased ocean temperature,Microplastics,Nutrient pollution",10,"Radio,Mail or email newsletters,Your own observations or experiences",55 - 64,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately conservative,2
9/18/2024 13:26,9/18/2024 13:31,Survey Preview,100,339,TRUE,9/18/2024 13:31,R_23,preview,EN,1,TRUE,100,0,9/18/2024 17:09,I agree,Yes,33712,,Single-family home,Own,,1 - 4 years,,High priority,Top priority,Top priority,High priority,High priority,Low priority,Top priority,Moderate priority,Top priority,Moderate priority,Low priority,Moderate priority,Low priority,Low priority,Low priority,Not a priority,Completely true,A little true,Completely true,Completely true,Not true at all,Completely true,Completely true,Very true,A little true,Completely true,Completely true,Very true,Completely true,Completely true,Very true,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,About once a month,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Never,A few times,Never,About once a month,Never,Multiple times per week,About once a week,A few times,Much more than I do,Much more than I do,Much more than I do,A little less than I do,A little more than I do,About the same as I do,A little less than I do,Much more than I do,,"A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Watching friends or family fish","Yes, very involved","Yes, a little involved","Yes, very involved","Yes, a little involved","Yes, a little involved","Yes, a little involved","No, not involved",Moderately true,Completely true,Completely true,Completely true,Completely true,Completely true,Moderately true,Completely true,Completely true,Completely true,Very true,Not true at all,Completely true,Very true,Moderately true,Completely true,Completely true,Moderately true,Moderately true,Not true at all,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,None of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Declined,7,Nitrogen,8,Industrial discharges into the bay,10,Summer (June - September),10,"Increased ocean temperature,Microplastics,Nutrient pollution",7,"Radio,Word of mouth (friends, family, coworkers),Your own observations or experiences",35 - 44,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Strongly liberal,2.5
